name
elena ivanovna rakhmukova
elena mikhailovna demidova
elena moiseevna tsunaeva
elena nikolaevna kostenko
elena nikolaevna shishkina
elena petrovna timchenko (born ermakova (yermakova))
elena sergeevna ivanova
elena valerievna kravchenko / elena valeryevna kravchenko
elena vladimirovna pisareva
elena vladimirovna shmeleva
eleonora mikhailovna fedorenko
elizaveta dmitrievna peskova
ella aleksandrovna pamfilova
elmira abdulbarievna haimurzyna
elvira rinatovna aitkulova
elvira yunusovna obukhova
galina alexandrovna khulapova (kashirskaya)
galina anatolyevna katyushenko
galina anatolyevna pyatykh
galina evgenyevna pumpyanskaya
galina innokentievna danchikova
galina nikolayevna karelova
galina nikolayevna solodun
galina petrovna khovanskaya
galina viktorivna danilchenko
galina vladimirovna redko
gulbakhor ismailova
hanna serhiyivna turobova
inna gennadyevna varlamova
inna nikolayevna guzeyeva
inna volodymyrovna shvenk
inna yuryevna svyatenko
irina aleksandrovna cherkasova
irina aleksandrovna pankina
irina alexandrovna petina
irina anatolievna filatova
irina anatolievna kostenko
irina anatolievna yarovaya
irina anatolyevna ageeva
irina andreyevna kozhanova
irina dmitrievna klyueva
irina ivanovna andrukh
irina konstantinovna rodnina
irina leontievna dianova
irina valentinovna ivenskikh
irina valeryevna rukavishnikova
irina vasilievna popova
irina victorovna belych
jelena veniaminovna bondarenko
julia baranovskaya
julia mikhailovna kryukova
karina ramzanovna kadyrova
klavdia yurievna kulbatskaya
kristina andreevna potupchik
ksenia vladimirovna mishonova
kseniya alexandrovna gorjatcheva
larisa aleksandrovna dolina
"larisa leonidovna airapetyan (a.k.a. larysa ayrapetyan, larisa airapetyan or larysa airapetyan)"
larisa nikolaevna tutova
larisa nikolayevna buranova
larisa oktiabrievna krasavchikova
larisa pavlovna falkovskaya
larisa valentinovna tolstykina
lenara khakimovna ivanova
lesya mikhaylovna lapteva
leyla rinatovna fazleeva
li xiaocui
lidia aleksandrovna basova
lidia mikhailovna sulteeva
lilia salavatovna gumerova
lyubov nikolayevna glebova
lyubov valentinovna prigozhina
lyudmila alekseevna ermakova
lyudmila leonidovna markina
lyudmila mikhailovna zharkova
lyudmila nikolayevna skakovskaya
lyudmila rukavishnikova
lyudmila sergeevna bolataeva
lyudmila zaumovna talabayeva
margarita nikolayevna pavlova
margarita simonovna simonyan
maria aleksandrovna kiselyova
maria alexeyevna lvova-belova
maria nikolaevna prusakova
maria valerjevna butina
maria victorovna vasilkova
maria viktorovna bogatova
maria vladimirovna drobot
maria vladimirovna vorontsova (born putina)
maria vladimirovna zakharova
marina alexandrovna mordashova
marina eduardovna orgeyeva
marina evgenievna kim
marina leonidovna peschanskaya
marina magomednebiyevna akhmedova
marina nikolaevna zheynova
marina veniaminovna gartung
marina vladimirovna magdalina
marina vladimirovna sechina (russian:марина владимировна сечина)
marina yuryevna zakharova
maya nikolaevna bolotova (born tokareva)
nadezhda alexandrovna reshetneva
nadezhda vasilevna shkolkina
natalia vladimirovna kosykhina
natalia vladimirovna poklonskaya
nataliya vladimirovna poluyanova
natalya aleksandrovna kapustnikova
natalya alekseevna budaryna
natalya alekseevna orlova
natalya alekseevna polyanskaya
natalya alexandrovna pashchenko
natalya anatolyevna pshenichnaya
natalya dmitrievna chekareva
natalya ivanovna bezruchenko/natalia ivanovna bezruchenko
natalya ivanovna strelchuk
natalya leonidovna desyatova
natalya markovna volkova
natalya sergeevna virtuozova
natalya vasilevna kostenko
natalya vasilevna nazarova
natalya vladimirovna gubareva
natalya vladimirovna komarova
natalya vladimirovna sergun
natalya yurevna nikonorova
nelli akopovna zadiraka
nina alexandrovna ostanina
nina germanovna kulikovskih
nina sergeevna faustova
nina viktorovna dorokhova
oksana alexandrovna babenko
oksana genrikhovna dmitrieva
oksana nikolaevna fadina
oksana tchigrina
oksana viktorovna sigidina
oksana vladimirovna khlyakina
olga aleksandrovna khamenok
olga alexandrovna kravtsova
olga alexandrovna makeeva
olga anatolyevna kobtseva
olga borisovna lyubimova
olga fyodorovna kovitidi
olga igorevna besedina
olga mikhailovna germanova
olga mikhailovna kazakova
