Name,Gender,Reason,Activity_based,Profit_based,Family_member_sanctions,Dates,Doc_title,Doc_number,Doc_url,Case_Study,Nationality
María Consuelo PORRAS ARGUETA DE PORRES,female,"In her position as Attorney General of Guatemala, the highest civil servant in the Public Ministry (Ministerio Público) of Guatemala (equivalent to Head of the Public Prosecutor’s Office or Chief Prosecutor), María Consuelo Porras Argueta De Porres (a.k.a. ‘Porras’) is involved in efforts to overturn the results of the first and second rounds of elections held in June and August 2023, including through spurious criminal investigations targeting the Supreme Electoral Tribunal, the political party Movimiento Semilla and President Arévalo. Furthermore, under her leadership the Public Ministry has brought arbitrary proceedings against independent journalists, prosecutors, judges, and civil society activists including indigenous leaders and students. She is therefore responsible for undermining democracy, the rule of law and the peaceful transfer of power in Guatemala.",,,,02-02-2024,COUNCIL_REGULATION_EU_2024_287_12_January_2024,02024R0287-20240913,http://data.europa.eu/eli/reg/2024/287/2024-09-13,Guatemala,Guatemalan
Ángel Arnoldo PINEDA ÁVILA,male,"Ángel Arnoldo Pineda Ávila is the Secretary-General of the Public Ministry (Ministerio Público) of Guatemala (equivalent to the Public Prosecutor’s Office). He is second-in-command in the Public Ministry after the Attorney General, and Head of the General Secretariat of that institution. In that position, Ángel Arnoldo Pineda Ávila is involved in efforts to overturn the results of the first and second round of elections held in June and August 2023, including through spurious criminal investigations targeting the Supreme Electoral Tribunal, the political party Movimiento Semilla and President Arévalo. In December 2023, he participated in a press conference where the Public Ministry presented claims that the outcome of the first round of elections in June 2023 was invalid. He is therefore responsible for undermining democracy, the rule of law and the peaceful transfer of power in Guatemala.",,,,02-02-2024,COUNCIL_REGULATION_EU_2024_287_12_January_2024,02024R0287-20240913,http://data.europa.eu/eli/reg/2024/287/2024-09-13,Guatemala,Guatemalan
José Rafael CURRUCHICHE CUCUL,male,"José Rafael Curruchiche Cucul is the Head of the Special Prosecution Office Against Impunity (FECI), which operates under the Public Ministry (Ministerio Público) of Guatemala (equivalent to the Public Prosecutor’s Office). Under his leadership, the FECI spearheaded the on-going investigation into the creation of the political party Movimiento Semilla of President Arévalo. He personally participated in the raid by the Public Ministry of the premises of the Supreme Electoral Tribunal that entailed the opening of sealed ballot boxes. Additionally, he was involved in the request for the suspension of the legal personality of Movimiento Semilla in July 2023. Furthermore, in December 2023 he participated in a press conference where the Public Ministry presented claims that the outcome of the first round of elections in June 2023 was invalid. Through those actions, José Rafael Curruchiche Cucul is involved in efforts to overturn the results of the 2023 elections in Guatemala. He is therefore responsible for undermining democracy, the rule of law and the peaceful transfer of power in Guatemala.",,,,02-02-2024,COUNCIL_REGULATION_EU_2024_287_12_January_2024,02024R0287-20240913,http://data.europa.eu/eli/reg/2024/287/2024-09-13,Guatemala,Guatemalan
Leonor Eugenia MORALES LAZO DE SÁNCHEZ,female,"Leonor Eugenia Morales Lazo De Sánchez is a prosecutor in the Special Prosecution Office Against Impunity (FECI), which operates under the Public Ministry (Ministerio Público) of Guatemala (equivalent to the Public Prosecutor’s Office). She is directly involved in the on-going investigation into the creation of the political party Movimiento Semilla of President Arévalo. Following the second round of Presidential elections in August 2023, she participated in the raid by the Public Ministry of the premises of the Supreme Electoral Tribunal that entailed the opening of sealed ballot boxes. She also participated in a press conference in December 2023 where the Public Ministry presented claims that the outcome of the first round of elections in June 2023 was invalid. Through those actions, Leonor Eugenia Morales Lazo De Sánchez is involved in efforts to overturn the results of the 2023 elections in Guatemala. She is therefore responsible for undermining democracy, the rule of law and the peaceful transfer of power in Guatemala.",,,,02-02-2024,COUNCIL_REGULATION_EU_2024_287_12_January_2024,02024R0287-20240913,http://data.europa.eu/eli/reg/2024/287/2024-09-13,Guatemala,Guatemalan
Fredy Raúl ORELLANA LETONA,male,"As First Instance Criminal Judge of the Seventh Court, Fredy Raúl Orellana Letona is responsible for supervising and authorising the actions of the Special Prosecutor’s Office Against Impunity (FECI), which operates under the Public Ministry (Ministerio Público) of Guatemala (equivalent to the Public Prosecutor’s Office), investigating alleged irregularities in the creation of the political party Movimiento Semilla, whose candidate won the second round of the presidential elections in Guatemala in August 2023. As supervising judge, Fredy Raúl Orellana Letona authorised raids at the headquarters of Movimiento Semilla in July 2023 and the premises of the Supreme Electoral Tribunal in July and September 2023. He also ordered the provisional suspension of the legal personality of Movimiento Semilla and denied access to the case file for the defence. He has enabled FECI’s actions to prosecute elected authorities and the magistrates of the Supreme Electoral Tribunal. Through those actions, Fredy Raúl Orellana Letona is involved in efforts to overturn the results of the 2023 elections in Guatemala. He is therefore responsible for undermining democracy, the rule of law and the peaceful transfer of power in Guatemala.",,,,02-02-2024,COUNCIL_REGULATION_EU_2024_287_12_January_2024,02024R0287-20240913,http://data.europa.eu/eli/reg/2024/287/2024-09-13,Guatemala,Guatemalan
